LayerName,Total Cycles
gemm_32_32_32,101
gemm_32_32_64,203
gemm_32_32_128,407
gemm_32_32_256,317
gemm_32_32_512,573
gemm_32_64_32,109
gemm_32_64_64,219
gemm_32_64_128,439
gemm_32_64_256,879
gemm_32_64_512,1759
gemm_32_128_32,125
gemm_32_128_64,251
gemm_32_128_128,503
gemm_32_128_256,1007
gemm_32_128_512,2015
gemm_32_256_32,251
gemm_32_256_64,503
gemm_32_256_128,1007
gemm_32_256_256,2015
gemm_32_256_512,4031
gemm_32_512_32,503
gemm_32_512_64,1007
gemm_32_512_128,2015
gemm_32_512_256,4031
gemm_32_512_512,8063
gemm_64_32_32,109
gemm_64_32_64,219
gemm_64_32_128,439
gemm_64_32_256,879
gemm_64_32_512,573
gemm_64_64_32,125
gemm_64_64_64,251
gemm_64_64_128,503
gemm_64_64_256,1007
gemm_64_64_512,2015
gemm_64_128_32,157
gemm_64_128_64,315
gemm_64_128_128,631
gemm_64_128_256,1263
gemm_64_128_512,2527
gemm_64_256_32,315
gemm_64_256_64,631
gemm_64_256_128,1263
gemm_64_256_256,2527
gemm_64_256_512,5055
gemm_64_512_32,631
gemm_64_512_64,1263
gemm_64_512_128,2527
gemm_64_512_256,5055
gemm_64_512_512,10111
gemm_128_32_32,125
gemm_128_32_64,251
gemm_128_32_128,503
gemm_128_32_256,1007
gemm_128_32_512,2015
gemm_128_64_32,157
gemm_128_64_64,315
gemm_128_64_128,631
gemm_128_64_256,1263
gemm_128_64_512,2527
gemm_128_128_32,221
gemm_128_128_64,443
gemm_128_128_128,887
gemm_128_128_256,1775
gemm_128_128_512,3551
gemm_128_256_32,443
gemm_128_256_64,887
gemm_128_256_128,1775
gemm_128_256_256,3551
gemm_128_256_512,7103
gemm_128_512_32,887
gemm_128_512_64,1775
gemm_128_512_128,3551
gemm_128_512_256,7103
gemm_128_512_512,14207
gemm_256_32_32,157
gemm_256_32_64,315
gemm_256_32_128,631
gemm_256_32_256,1263
gemm_256_32_512,2527
gemm_256_64_32,221
gemm_256_64_64,443
gemm_256_64_128,887
gemm_256_64_256,1775
gemm_256_64_512,3551
gemm_256_128_32,349
gemm_256_128_64,699
gemm_256_128_128,1399
gemm_256_128_256,2799
gemm_256_128_512,5599
gemm_256_256_32,699
gemm_256_256_64,1399
gemm_256_256_128,2799
gemm_256_256_256,5599
gemm_256_256_512,11199
gemm_256_512_32,1399
gemm_256_512_64,2799
gemm_256_512_128,5599
gemm_256_512_256,11199
gemm_256_512_512,22399
gemm_512_32_32,221
gemm_512_32_64,443
gemm_512_32_128,887
gemm_512_32_256,1775
gemm_512_32_512,3551
gemm_512_64_32,349
gemm_512_64_64,699
gemm_512_64_128,1399
gemm_512_64_256,2799
gemm_512_64_512,5599
gemm_512_128_32,605
gemm_512_128_64,1211
gemm_512_128_128,2423
gemm_512_128_256,4847
gemm_512_128_512,9695
gemm_512_256_32,1211
gemm_512_256_64,2423
gemm_512_256_128,4847
gemm_512_256_256,9695
gemm_512_256_512,19391
gemm_512_512_32,2423
gemm_512_512_64,4847
gemm_512_512_128,9695
gemm_512_512_256,19391
gemm_512_512_512,38783
